Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
45274933,Fortune's Fool (Eterean Empire #1),Angela Boord,"Boord, Angela",,"=""""","=""""",0,4.05,Impossible Books,Kindle Edition,737,2019,2019,,2022/02/26,"to-read, tbr-fantasy-indie","to-read (#323), tbr-fantasy-indie (#20)",to-read,,,,0,0
23956571,"Bloodrush (The Scarlet Star Trilogy, #1)",Ben Galley,"Galley, Ben",,"=""0992787157""","=""9780992787158""",0,3.83,,Paperback,480,2014,2014,,2022/02/26,"to-read, tbr-fantasy-indie","to-read (#324), tbr-fantasy-indie (#19)",to-read,,,,0,0
42291426,"A Wind From the Wilderness (Watchers of Outremer, #1)",Suzannah  Rowntree,"Rowntree, Suzannah",,"=""""","=""""",0,3.77,Amazon Digital Services,Kindle Edition,422,2018,,,2022/02/26,"to-read, tbr-fantasy-indie","to-read (#325), tbr-fantasy-indie (#18)",to-read,,,,0,0
34947175,"Where Loyalties Lie (Best Laid Plans, #1)",Rob J. Hayes,"Hayes, Rob J.",,"=""1545581924""","=""9781545581926""",0,4.01,CreateSpace Independent Publishing Platform,Paperback,371,2017,2017,,2022/02/27,"to-read, tbr-fantasy-indie","to-read (#326), tbr-fantasy-indie (#17)",to-read,,,,0,0
35621572,"Rise of Gods (The Paternus Trilogy, #1)",Dyrk Ashton,"Ashton, Dyrk",,"=""0997173718""","=""9780997173710""",0,3.97,Paternus Books Media,Kindle Edition,504,2017,2016,,2022/02/27,"to-read, tbr-fantasy-indie","to-read (#327), tbr-fantasy-indie (#16)",to-read,,,,0,0
51850656,"The Fall of Erlon (The Falling Empires Saga, #1)",Robert H. Fleming,"Fleming, Robert H.",,"=""""","=""""",0,3.71,,Kindle Edition,332,2019,2019,,2022/02/27,"to-read, tbr-fantasy-indie","to-read (#328), tbr-fantasy-indie (#15)",to-read,,,,0,0
29936142,"The Path of Flames (Chronicles of the Black Gate, #1)",Phil Tucker,"Tucker, Phil",,"=""""","=""""",0,4.02,,Kindle Edition,461,2016,2016,,2022/02/27,"to-read, tbr-fantasy-indie","to-read (#329), tbr-fantasy-indie (#14)",to-read,,,,0,0
33237983,"The Crimson Queen (The Raveling, #1)",Alec Hutson,"Hutson, Alec",,"=""0998227609""","=""9780998227603""",0,4.13,Alec Hutson,Paperback,419,2016,2016,,2022/02/27,"to-read, tbr-fantasy-indie","to-read (#330), tbr-fantasy-indie (#13)",to-read,,,,0,0
26033947,"Outpost (The Fylking, #1)",F.T. McKinstry,"McKinstry, F.T.",,"=""""","=""""",0,4.13,,Kindle Edition,351,2015,2015,,2022/02/27,"to-read, tbr-fantasy-indie","to-read (#331), tbr-fantasy-indie (#12)",to-read,,,,0,0
40616782,"Symphony of the Wind (The Raincatcher's Ballad, #1)",Steven McKinnon,"McKinnon, Steven",,"=""1718600690""","=""9781718600690""",0,3.60,KDP Print,Paperback,660,2018,2018,,2022/02/27,"to-read, tbr-fantasy-indie","to-read (#332), tbr-fantasy-indie (#11)",to-read,,,,0,0
